task,model,source,lang,lpr,wpr
crosslingual,command-r-base,okapi,fr,0.0,
crosslingual,command-r-base,okapi,hi,0.0,1.0
crosslingual,command-r-base,okapi,id,0.0,
crosslingual,command-r-base,okapi,it,0.0,
crosslingual,command-r-base,okapi,ja,0.0,1.0
crosslingual,command-r-base,okapi,ko,0.0,1.0
crosslingual,command-r-base,okapi,pt,0.0,
crosslingual,command-r-base,okapi,ru,0.0,1.0
crosslingual,command-r-base,okapi,tr,0.0,
crosslingual,command-r-base,okapi,vi,0.0,
crosslingual,command-r-base,okapi,zh,0.02,1.0
crosslingual,command-r-base,sharegpt,ar,0.0,1.0
crosslingual,command-r-base,sharegpt,de,0.0,
crosslingual,command-r-base,sharegpt,es,0.0,
crosslingual,command-r-base,sharegpt,fr,0.0,
crosslingual,command-r-base,sharegpt,hi,0.0,1.0
crosslingual,command-r-base,sharegpt,id,0.0,
crosslingual,command-r-base,sharegpt,it,0.0,
crosslingual,command-r-base,sharegpt,ja,0.0,1.0
crosslingual,command-r-base,sharegpt,ko,0.02,0.5
crosslingual,command-r-base,sharegpt,pt,0.0,
crosslingual,command-r-base,sharegpt,ru,0.0,1.0
crosslingual,command-r-base,sharegpt,tr,0.0,
crosslingual,command-r-base,sharegpt,vi,0.0,
crosslingual,command-r-base,sharegpt,zh,0.02,1.0
crosslingual,command-r-base,complex_prompts,all,0.015,1.0
crosslingual,command-r-base,okapi,all,0.0014,1.0
crosslingual,command-r-base,sharegpt,all,0.0029,0.92
crosslingual,command-r-base,all,ar,0.0,1.0
crosslingual,command-r-base,all,de,0.0087,
crosslingual,command-r-base,all,es,0.012,
crosslingual,command-r-base,all,fr,0.0,
crosslingual,command-r-base,all,hi,0.0042,1.0
crosslingual,command-r-base,all,id,0.0044,
crosslingual,command-r-base,all,it,0.0089,
crosslingual,command-r-base,all,ja,0.0041,1.0
crosslingual,command-r-base,all,ko,0.0068,0.83
crosslingual,command-r-base,all,pt,0.013,
crosslingual,command-r-base,all,ru,0.0,1.0
